ZIPファイル名,出力年月日・時刻,地番区域,地番,地番区域（筆界未定地構成地番）,地番（筆界未定地構成地番）
42206-3106-1.zip,202202091241,福江市,地区外-2551737,,
42206-3106-1.zip,202202091241,福江市,地区外-2551738,,
42206-3106-1.zip,202202091241,福江市,地区外-2551739,,
42206-3106-1.zip,202202091241,福江市,地区外-2551740,,
42206-3106-1.zip,202202091241,福江市,地区外-2551741,,
42206-3106-1.zip,202202091241,福江市,地区外-2551742,,
42206-3106-1.zip,202202091241,福江市,地区外-2551743,,
42206-3106-1.zip,202202091241,福江市,地区外-2551744,,
42206-3106-1.zip,202202091241,福江市,地区外-2551745,,
42206-3106-1.zip,202202091241,福江市,地区外-2551746,,
42206-3106-1.zip,202202091241,福江市,地区外-2551747,,
42206-3106-1.zip,202202091241,福江市,地区外-2551748,,
42206-3106-1.zip,202202091241,福江市,地区外-2551749,,
42206-3106-1.zip,202202091241,福江市,地区外-2551750,,
